LATITUDE,LONGITUDE,ACCLOC,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,HOOD_140
43.656345,-79.45249,At Intersection,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,unknown,None,Unknown,1,0,1,0,0,0,0,,0,1,0,0,0,88.0,88.0
43.656345,-79.45249,At Intersection,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,,1,0,1,0,0,0,0,,0,1,0,0,0,88.0,88.0
43.801943,-79.199786,At Intersection,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,45 to 49,Fatal,Unknown,0,0,1,1,0,0,0,,0,1,1,0,0,146.0,132.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.801943,-79.199786,At Intersection,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,unknown,None,Unknown,0,0,1,1,0,0,0,,0,1,1,0,0,146.0,132.0
43.734945,-79.25619,,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,"Ability Impaired, Alcohol",1,0,1,0,0,0,0,,0,0,0,1,0,124.0,138.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,Normal,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.734945,-79.25619,,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Minor,,1,0,1,0,0,0,0,,0,0,0,1,0,124.0,138.0
43.734945,-79.25619,,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,,1,0,1,0,0,0,0,,0,0,0,1,0,124.0,138.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.649345,-79.42079,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,"Ability Impaired, Alcohol Over .08",1,0,1,0,0,0,0,,0,1,0,1,0,81.0,81.0
43.667245,-79.54469,,Clear,Dusk,Dry,Non-Fatal Injury,Other,Passenger,15 to 19,Major,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,10.0,10.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.649345,-79.42079,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,1,0,1,0,0,0,0,,0,1,0,1,0,81.0,81.0
43.744045,-79.28349,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,0,1,1,0,0,0,0,,0,0,0,0,0,119.0,119.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.697045,-79.54669,At Intersection,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,None,Normal,1,0,1,0,0,0,0,,0,0,0,0,0,6.0,6.0
43.744045,-79.28349,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,Normal,0,1,1,0,0,0,0,,0,0,0,0,0,119.0,119.0
43.744045,-79.28349,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,,0,1,1,0,0,0,0,,0,0,0,0,0,119.0,119.0
43.648545,-79.38089,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,,1,0,0,0,0,1,0,,0,0,0,0,0,170.0,76.0
43.648545,-79.38089,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,1,0,0,0,0,1,0,,0,0,0,0,0,170.0,76.0
43.648545,-79.38089,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,Normal,1,0,0,0,0,1,0,,0,0,0,0,0,170.0,76.0
43.691345,-79.46969,At Intersection,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown,None,,0,0,1,0,1,0,0,Yes,0,1,0,0,0,110.0,110.0
43.691345,-79.46969,At Intersection,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Truck Driver,40 to 44,Minimal,Normal,0,0,1,0,1,0,0,Yes,0,1,0,0,0,110.0,110.0
43.691345,-79.46969,At Intersection,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown,None,,0,0,1,0,1,0,0,Yes,0,1,0,0,0,110.0,110.0
43.691345,-79.46969,At Intersection,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,,0,0,1,0,1,0,0,Yes,0,1,0,0,0,110.0,110.0
43.691345,-79.46969,At Intersection,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,Normal,0,0,1,0,1,0,0,Yes,0,1,0,0,0,110.0,110.0
43.683745,-79.48249,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,0,1,1,0,0,0,0,,0,0,0,0,0,111.0,111.0
43.683745,-79.48249,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,70 to 74,None,Inattentive,0,1,1,0,0,0,0,,0,0,0,0,0,111.0,111.0
43.683745,-79.48249,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,60 to 64,Major,,0,1,1,0,0,0,0,,0,0,0,0,0,111.0,111.0
43.744545,-79.29829,,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,,0,0,1,0,0,0,0,Yes,1,1,0,0,0,119.0,119.0
43.744545,-79.29829,,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Major,,0,0,1,0,0,0,0,Yes,1,1,0,0,0,119.0,119.0
43.744545,-79.29829,,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,,0,0,1,0,0,0,0,Yes,1,1,0,0,0,119.0,119.0
43.744545,-79.29829,,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,1,1,0,0,0,119.0,119.0
43.744545,-79.29829,,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,None,Unknown,0,0,1,0,0,0,0,Yes,1,1,0,0,0,119.0,119.0
43.758145,-79.31389,,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,Major,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,119.0,119.0
43.758145,-79.31389,,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Minor,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,119.0,119.0
43.758145,-79.31389,,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minimal,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,119.0,119.0
43.765245,-79.42519,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,None,,1,0,1,0,0,0,0,,0,1,0,0,0,38.0,38.0
43.765245,-79.42519,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,Normal,1,0,1,0,0,0,0,,0,1,0,0,0,38.0,38.0
43.765245,-79.42519,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,10 to 14,Major,,1,0,1,0,0,0,0,,0,1,0,0,0,38.0,38.0
43.787345,-79.35299,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,None,,0,0,1,0,1,0,0,,0,1,1,0,0,47.0,47.0
43.787345,-79.35299,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Truck Driver,30 to 34,None,Normal,0,0,1,0,1,0,0,,0,1,1,0,0,47.0,47.0
43.787345,-79.35299,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,None,,0,0,1,0,1,0,0,,0,1,1,0,0,47.0,47.0
43.787345,-79.35299,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,60 to 64,Major,Normal,0,0,1,0,1,0,0,,0,1,1,0,0,47.0,47.0
43.602045,-79.49909,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,,1,0,1,0,0,0,0,,0,0,0,0,0,18.0,18.0
43.602045,-79.49909,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,unknown,Major,,1,0,1,0,0,0,0,,0,0,0,0,0,18.0,18.0
43.765445,-79.19949,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,15 to 19,None,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,136.0,136.0
43.765445,-79.19949,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,None,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,136.0,136.0
43.765445,-79.19949,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,25 to 29,Major,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,136.0,136.0
43.764545,-79.31819,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,25 to 29,Major,Normal,0,0,1,1,0,0,0,,0,1,0,0,0,150.0,45.0
43.764545,-79.31819,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,0,0,1,1,0,0,0,,0,1,0,0,0,150.0,45.0
43.764545,-79.31819,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,None,Normal,0,0,1,1,0,0,0,,0,1,0,0,0,150.0,45.0
43.640945,-79.38069,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.640945,-79.38069,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,Normal,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.640945,-79.38069,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Minor,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.640945,-79.38069,At Intersection,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,Had Been Drinking,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.687645,-79.39389,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,1,0,0,0,0,1,0,,0,0,0,0,0,98.0,98.0
43.687645,-79.39389,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,Normal,1,0,0,0,0,1,0,,0,0,0,0,0,98.0,98.0
43.687645,-79.39389,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,,1,0,0,0,0,1,0,,0,0,0,0,0,98.0,98.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,None,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,5 to 9,Major,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,5 to 9,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.639445,-79.38679,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,None,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,165.0,77.0
43.636445,-79.39959,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,Normal,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.636445,-79.39959,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Minor,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.636445,-79.39959,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Major,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.636445,-79.39959,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.636445,-79.39959,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Minimal,Normal,0,0,1,0,0,0,0,Yes,0,1,1,0,0,165.0,77.0
43.605445,-79.49109,,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Vehicle Owner,unknown,,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,160.0,17.0
43.605445,-79.49109,,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Driver,45 to 49,Minimal,Had Been Drinking,0,0,1,0,0,0,0,Yes,0,1,0,0,0,160.0,17.0
43.605445,-79.49109,,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Passenger,70 to 74,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,160.0,17.0
43.605445,-79.49109,,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Driver,60 to 64,Major,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,160.0,17.0
